Post Text,LLM Response,Parsed Code,Parsed Microlabel,Parsed Macrolabel,date,About Israel
"BREAKING NEWS

Reiner Fuellmich in U-Haft

Alle Informationen um 20 Uhr - LIVE

Dlive
https://dlive.tv/bitteltv

VK
https://vk.com/bitteltv

GETTR
https://gettr.com/user/bitteltv

KICK
https://kick.com/bittel-tv

Twitter
https://twitter.com/bitteltv

Twitch
https://www.twitch.tv/bitteltv

TEILEN - mehr Infos bei:
@BITTELTV - EINFACH ANDERS",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-15T14:44:18.000Z,0
"Pfizer 💥 Vertrag-Leak: Der größte Skandal der Medizingeschichte

Universitätsdozent Dr. Hannes Strasser war Impfarzt! Er sitzt in der österr. Ärztekammer und hat sich den ungeschwärzten Vertrag genau angesehen:

▪️ Dass die vorliegenden Verträge von der EU-Kommission und den Regierungen der EU-Mitgliedsstaaten unterschrieben wurden, ist für mich als Arzt unfassbar. Das ist meiner Meinung nach der größte Skandal in der Medizingeschichte. 

▪️ Man muss sich das alles vorstellen: ein Impfstoff, dessen Wirksamkeit und Sicherheit nicht bekannt ist, dessen Produktion mit großen Risiken verbunden ist, der laut Vertrag zu Tod, Krankheit und Behinderung führen kann, wird von der EMA bedingt zugelassen und in weiterer Folge Alten, Kranken, Gesunden, Kindern, Babys und Schwangeren geimpft. 

▪️ Der Impfstoff wurde weltweit sage und schreibe 4,6 Milliarden Mal injiziert. 

▪️ Um es kurz und prägnant zu formulieren: die EU-Kommission und die Europäischen Regierungen logen, dass sich die Balken bogen, und degradierten skrupellos alle Geimpften zu wandelnden Versuchskaninchen. 

▪️ Jedem Geimpften muss jetzt klar sein, dass den Politikern in den Regierungen von Anfang an klar war, dass der Impfstoff alle möglichen Folgen bis hin zum Tod auslösen kann und dass die Langzeitfolgen nach wie vor nicht abzusehen sind. 

▪️ Wir wissen nicht, was mit den Geimpften langfristig passieren wird. Wir sehen nur, dass immer mehr Meschen sterben, immer mehr Menschen krank sind und beispielsweise die Krebserkrankungen explodieren. 

▪️ Laut neuesten Publikationen starben weltweit bereits bis zu 17 Millionen Menschen wegen der COVID-19-Impfungen. Die verantwortungslosen Politiker sind Mitschuld an Tod und Krankheit unzähliger Menschen weltweit. Sie haben mit den COVID-19-Impfungen die Büchse der Pandora geöffnet, und nun breiten sich Krankheit, Tod und Übel über die Menschheit aus.

Die ganze umfangreiche Analyse von Dr. Strasser hier lesen:
https://auf1.info/dr-strasser-der-groesste-menschenversuch-der-geschichte",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-29T14:07:16.000Z,0
"💥 Das Ende rückt näher, der ""Countdown zum möglichen Shutdown"" in den USA läuft, der viel zitierte rote Oktober ist in vollem Gange und aktuell sorgt der Angriff der Hamas auf Israel für Aufsehen. Die ""erfolgreiche Meuterei im US-Kongress"" führte zur historischen Absetzung von Kevin McCarthy, der zuvor u.a. mit seiner Verbindung zum Bohemian Grove und seinen Lügen bezüglich eines Ukraine-Deals quasi vorgeführt wurde. Nicht nur in Europa werden manche nervös und eine der ersten Amtshandlungen des Interims-Speakers Patrick McHenry war der Rausschmiss von Nancy Pelosi aus dem Capitol, die sich just in dem Moment auf der Trauerfeier von US-Senatorin Dianne Feinstein, bei der man eine altbekannte Symbolik in Richtung Verrat sehen kann. Das US-Repräsentantenhaus kürzte weiter die Mittel für die UNO, WHO, WEF bzw. die Klimaziele und auch die Abrechnung mit der Covid-Politik nimmt weiter an Fahrt auf. Die Impeachment-Ermittlungen gegen Biden und dessen bissiger Hund waren ebenso medial präsent, wie Trumps langer Schatten über dem Kongress. Ebenfalls bemerkenswert war dessen Aussage, dass es keine fünf Monate mehr dauern wird, bis Biden besiegt sei und er in seiner zweiten Amtszeit wäre, was eine weitere Bestätigung für die Devolutions-Theorie ist, die man sich hier nochmal genauer ansehen kann. Passend dazu sorgt gerade die Doku ""The Greatest Show on Earth""(deutsche Version) für Furore.

💥 Elon Musk haut weiter raus, nimmt sich das Jahrhundertverbrechen der sog. Covid-Impfung vor, bezeichnet das FIAT-System als Betrug und rechnet mit dem ""grünen Migrations-Irrsinn"" ab. Er teilt mit, dass die deutsche Hilfe für Migranten im Mittelmeer  „Invasion Vibes“ habe, die Ampel abgewählt werden sollte und legt den Fokus auf die sog. ""Seenotrettung"". Prompt stellen Teile der Alt-Medien fest, dass er wohl Recht habe und manche Kapitäne sprechen ganz offen über ""illegale Flüchtlingsrettung"". Angesichts der Gewalt an der ungarischen Grenze, aber auch des drohenden Kollapses in der Migrationskrise, der entsprechenden Transformation Deutschlands und der ""Statistik des Grauens"" ist ""die Stimmung schon gekippt"". Europa erkannt, dass Masseneinwanderung ein Problem ist und immer mehr erkennen, dass es sich hierbei nicht um einen Zufall handelt. Die Deutschen sind teils nach wie vor durch Politik und Medien isoliert und das Erwachen wird für manche noch schmerzhaft sein. Bezeichnend für den Geisteszustand mancher Menschen und dem Problem vieler Grüner bzw. Linker mit der Meinungsfreiheit ist der Feldzug gegen Musk, bei denen die Forderung nach ""Enteignung"" und ""behördlichem Eingreifen"" zum Standard gehören.

💥 Deutschlands täglicher Wahnsinn frustriert bzw. beleidigt die Intelligenz von manchen. Die Wahlen in Bayern und Hessen lassen manchen ein Debakel erleben und spiegeln den erwarteten Rechtsruck wieder. Umfragen zeigten schon vorher, dass 70% mit der Ampel unzufrieden sind, die Grünen von der Jugend abgestraft wurden und bis 85% die Gendersprache ablehnen. Der Abschwung der Wirtschaft ist ""viel schlimmer als erwartet"" und die ""Verschrottung der deutschen Wirtschaft"" in vollem Gange, was laut einer Umfrage viele Deutsche den Glauben an eine gute Zukunft verlieren lässt. Ebenfalls gruselig sind die Nazi-Methoden, wie Linke Attacken auf die AfD kleinreden bzw. sich als Opfer stilisieren und man sehen kann, wie die Saat des Hasses aufgeht.

💥 Am 4. Oktober testeten Amerika und Russland zeitgleich ihr öffentliches Notfall-Warnsystem. Die ""Ukraine-Müdigkeit"" beunruhigt die NATO-Eliten und die ukrainischen Soldaten kapitulieren massenhaft. Putin hielt eine vielbeachtete und -sagende Grundsatzrede über seine Vorstellung einer neuen Weltordnung, während zuvor noch das Treffen der EU-Außenminister in Kiew stattfand. Der langsame Abstieg des Dollars ist der rasante Aufstieg von Rubel und Yuan und der Euro erlebte die letzten Monate bezüglich der globalen Verwendung ein Fiasko. In China kommt es weiter zu verschwindenden Ministern bzw. Säuberungen, New York ging unter und die weltweiten Razzien gegen organisierte Kriminalität gehen weiter.

@Qbavaria",7,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-09T05:17:26.000Z,0
"💥❗️KimDotcom auf Twitter/X:

„Geleaked: Der geheime Impfstoffkaufvertrag, den die Europäische Kommission mit Pfizer unterzeichnet hat, wurde veröffentlicht.

Seite 48, Abs. 4:

Unbekannte Wirksamkeit
Unbekannte unerwünschte Ereignisse
Unbekannte langfristige Auswirkungen

Sie haben Euch gesagt, dass es sicher und wirksam ist.

Sie haben Euch angelogen!:“

https://archive.org/details/contract_03/page/48/mode/2up

https://twitter.com/KimDotcom/status/1717345649715515470",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-26T04:07:25.000Z,0
"🇩🇪💰Habecks Dusch-Tipps kosten Steuerzahler 83 Mio. Euro💥

Als die Energie im vergangenen Jahr knapp wurde, gingen bundesdeutsche Politiker her und gaben den Bürgern Tipps beim Sparen. Einer der Hinweise, mit denen die Bürger über die zahlreichen Sparmöglichkeiten informiert werden sollten, war, die Duschzeit auf ""höchstens fünf Minuten"" zu reduzieren und die Wassertemperatur zu senken. Der Bund der Steuerzahler kritisierte nun diese banalen Ratschläge, da sie vielen Bürgern nicht neu gewesen sein dürften.

Neu sind allerdings die Kosten, die die Kampagne des Wirtschaftsministers verschlungen hat. Wie das Springer-Blatt Welt berichtete, betrugen diese rund 38,8 Millionen Euro. Laut dem aktuellen Schwarzbuch des Bundes der Steuerzahler, das sich auf Zahlen des Bundeswirtschaftsministeriums beruft, wird mit 15 Millionen Euro zusätzlichen Kosten pro Jahr gerechnet. Da die Kampagne noch bis 2025 laufen soll, könnten die Gesamtkosten auf 83 Millionen kommen.
____
🇩🇪💰 Душевые советы немецкого Министра экономики ""мыться меньше против Путина"" обошлись налогоплательщикам в 83 миллиона евро💥

Когда в прошлом году возник дефицит электроэнергии, федеральные политики стали раздавать гражданам советы о том, как сэкономить. Одним из советов, информирующих граждан о многочисленных способах экономии, было сокращение времени принятия душа до ""не более пяти минут"" и снижение температуры воды. Ассоциация налогоплательщиков сейчас критикует этот банальный совет, поскольку он наверняка не был новым для многих граждан.

Новым, однако, являются расходы, которые понесла кампания министра экономики Хабека. Как сообщает газета Welt, они составили около 38,8 млн. евро. Согласно текущей ""черной книге"" Ассоциации налогоплательщиков, которая ссылается на данные Федерального министерства экономики, ожидаются дополнительные расходы в размере 15 млн. евро в год. Поскольку кампания рассчитана до 2025 года, общие расходы могут составить 83 млн.

@kenjebsen",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-21T05:27:01.000Z,0
"💥Was ist der Fehler im System?💥

Ist Dr. Reiner Füllmich ein einfacher Straftäter, der seine Geschäftspartner betrogen hat und deswegen jetzt (aus immanenter Sicht) zu Recht in Untersuchungshaft sitzt?

Ich weiß es nicht. Ich kenne weder die Akten noch habe ich mit einem der Beteiligten über den Streit gesprochen.

Was ich aber weiß, ist dass diejenigen, die den Staat für ihre strafrechtliche Verfolgung von Dr. Füllmich in Anschlag gebracht haben, sich und der Sache der Freiheits- und Grundrechtebewegung einen Bärendienst erwiesen haben.

Wer zunehmend die Zerstörung des Rechtsstaats beklagt, insbesondere die Instrumentalisierung des Strafrechts zur Verfolgung unbequemer Menschen, sollte diesen ""Rechtsstaat"" solange meiden, bis gerechte Verhältnisse wiederhergestellt sind. Julian Assange wurde auch ""normaler"" Straftaten bezichtigt, damit diejenigen, die ihn aus dem Verkehr ziehen wollten, seiner Habhaft werden konnten. Er sitzt inzwischen zehn Jahre ohne Strafurteil in ""Untersuchungshaft"". 

Dr. Reiner Füllmich hat vielen Menschen in den dunkelsten Stunden ihres Lebens Licht und Hoffnung gegeben. Hoffnung auf ein besseres, ein gerechteres Leben in Zukunft. Diejenigen, die dafür Geld gespendet haben, wollten zuerst und zuförderst ihn und seine Tätigkeit unterstützen. Hätte es einen ""Provisionsvertrag"" gegeben, wäre er der bevorzugte Geldbeschaffer gewesen. Es waren seine Arbeit, seine Kontakte, mit denen der Corona-Ausschuss maßgeblich aufgebaut wurde. Das soll die Leistung der Anderen nicht schmälern.

Er hat viele gute Ideen gehabt und war an der einen oder anderen Stelle vielleicht zu optimistisch und seiner Zeit voraus. Vielleicht auch an der einen oder anderen Stelle zu blauäugig. Wir waren darüber meist nicht einer Meinung. 

Dennoch hätte ich mir gewünscht, die Streitigkeiten wären untereinander und nicht gegeneinander gelöst worden. Der Schaden, der damit angerichtet worden ist und weiterhin angerichtet wird, ist immens.

Jetzt, wo Reiner Füllmich in Untersuchungshaft sitzt, ist das passiert, was mit Michael Ballwegs Haft noch nicht gelungen war:
Die Spaltung der kritischen Bewegung. 

Wenn denjenigen, die hier federführend beteiligt waren, tatsächlich etwas an echter Rechtsstaatlichkeit und den Menschen dieser Gesellschaft liegt, werden sie sich über diese Entwicklung nicht freuen.

Ich hätte mir gewünscht, dass wir schon weiter sind in unserer zivilisatorischen Entwicklung. Die Haft und selbst eine Bestrafung von Reiner Füllmich wird die Anzeigenerstatter nicht zu glücklicheren Menschen machen, dafür aber dem Schutz der Grundrechte erheblichen weiteren Schaden zufügen. Denn mit dem Schmutz, der jetzt geworfen wird, wird nicht nur die Person Reiner Füllmich, sondern vor allem die Arbeit des Corona-Ausschuss getroffen.

Ich rufe alle Beteiligten dazu auf, sich nicht an irgendwelchen Vorwurfs- und Schmutzkampagnen zu beteiligen. Ich rufe die Anzeigenerstatter auf, die Angelegenheit miteinander zu klären, um dem Staat nicht die Verfügungsgewalt über die Angelegenheit zu geben.

Lasst uns unsere Energie für eine bessere Zukunft und nicht gegeneinander verwenden.

Lasst uns nicht das Spiel der Feinde einer freiheitlichen Gesellschaft mitspielen. 

Mein Kanal:

t.me/RA_ludwig",16,16,Rechts- und Justizsystem,Vertrauen in Institutionen,2023-10-15T19:46:59.000Z,0
"Mit dem Corona-Untersuchungsausschuss wurde Dr. Rainer Fuellmich im Corona-Widerstand schnell bekannt. Nachdem es zu Streitigkeiten mit den anderen Mitgliedern gekommen war, zerfiel der Ausschuss. Aus den Reihen des U-Ausschusses gab es später sogar eine Strafanzeige und in weiterer Folge einen europäischen Haftbefehl gegen Rainer Fuellmich. Durch angebliche Probleme mit seinem Visum wurde dem Deutschen nun der Pass entzogen und er aus Mexiko ausgewiesen. Am Flughafen in Frankfurt wurde er sofort verhaftet. Die Anwältin von Reiner Fuellmich, Dagmar Schoen, vermutet einen von Deutschland aus eingefädelten Justiz-Coup, um den kritischen Anwalt nach Deutschland und dort hinter Gitter zu bringen. Die Untreue-Vorwürfe gegen ihren Mandanten hält sie für unhaltbar. Ob sich nun ein ähnlicher Polit-Prozess wie bei dem Querdenken-Gründer Michael Ballweg abzeichnet, wird sich in den nächsten Wochen zeigen.

👉🏻 Folgen Sie uns auf Telegram: https://t.me/auf1tv",16,16,Rechts- und Justizsystem,Vertrauen in Institutionen,2023-10-15T19:00:29.000Z,0
"💥 BREAKING NEWS: PFIZER-VERTRAG MIT DER EU GELEAKT!

Unbekannte Wirksamkeit, unbekannte unerwünschte Ereignisse, unbekannte langfristige Auswirkungen: Das steht im ungeschwärzten Pfizer-Vertrag mit der Europäischen Union. Das geleakte Dokument offenbart, dass alles, was sie über die Corona-Impfung erzählt haben, vorsätzliche Lügen sind. Nun ist nachvollziehbar, warum der volle Wortlaut des Vertrages nach wie vor geheimgehalten wird. EU-Kommissionspräsidentin Ursula von der Leyen, die für den milliardenschweren Impfstoff-Deal verantwortlich ist, hat Millionen Menschen zu Versuchskaninchen gemacht.

Vergleichen Sie selbst:

Geleakte Version
Geschwärzter Vertrag der EU-Kommission

👉 Folgen Sie AUF1 auf Telegram: t.me/auf1tv",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-26T09:36:49.000Z,0
"Heute ist der sogenannte Tag der Deutschen Einheit, an dem der Beitritt der DDR zur BRD gefeiert wird. Die neugegründeten Länder Brandenburg, Mecklenburg-Vorpommern, Sachsen, Sachsen-Anhalt und Thüringen sowie Berlin traten laut Wikipedia somit dem Geltungsbereich des Grundgesetzes nach Artikel 23 Grundgesetz bei. Nur wurde Artikel 23 GG, der Geltungsbereich der BRD, schon am 17. Juli 1990 vom damaligen US-Außenminister James Baker gestrichen. Die DDR ist also etwas beigetreten, was es bereits seit 3 Monaten nicht mehr gab. Und was die BRD wirklich war, erklärt uns Karl Eduard von Schnitzler, auch Sudel-Ede genannt, hier in nur einer Minute. Eine Aufnahme von 1987, der wir besser hätten Glauben schenken sollen:

""So entstand die BRD

In Bonn ernannten 1948 ausländische Besatzungsmächte willkürlich ausgewählte Politiker zu Parlamentarischen Räten. Diese bastelten am Entwurf eines Grundgesetzes und mit diesem Verfassungsentwurf wurden sie 36 mal auf den Petersberg zitiert, wo die Vertreter der 3 Westalliierten residierten, dort haben dann diese Ausländer jedes mal im Entwurf der nicht gewählten Parlamentarischen Räte herumdirigiert, dann konstituierte sich der nicht gewählte, sondern von Ausländern ernannte parlamentarische Rat im Bonner Museum König als provisorischer Bundestag und setzte die von Ausländern redigierte Verfassung in Kraft. So entstand die BRD!""

https://t.me/AnonymousSchweizOrginal/22033

Dirk Dietrich https://t.me/DDDDoffiziell",23,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-03T08:01:31.000Z,0
"+++EILMELDUNG+++

Bei mir zu Hause wird gerade eine Hausdurchsuchung geführt! 

Der Hintergrund ist die Veröffentlichung dieses Videos ( https://t.me/busfahrerthomas/9882) über das Aufklärungsbuch für Kinder ab 5 Jahren und den Nackträumen in Kindergärten über die ich mich nicht gerade Positiv geäußert habe! 

Ein Richter hat diesbezüglich eine Hausdurchsuchung bei mir zu Hause angeordnet!

Weitere Details in kürze:
Busfahrer Thomas Brauner",8,8,Meinungsfreiheit,Sicht auf Deutschland/USA,2023-10-19T17:26:13.000Z,0
